taluk,district,latitude,longitude,year,ndvi_mean,ndvi_std,ndvi_min,ndvi_max,scene_count,platform,data_source
Vijayapura,Vijayapura,16.864906,75.813471,2020,0.172,0.0515,0.172,0.172,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Vijayapura,Vijayapura,16.864906,75.813471,2021,0.1726,0.0855,0.1726,0.1726,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Vijayapura,Vijayapura,16.864906,75.813471,2022,0.1559,0.1032,0.1559,0.1559,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Vijayapura,Vijayapura,16.864906,75.813471,2023,0.1683,0.1265,0.1683,0.1683,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Indi,Vijayapura,17.147634,75.953167,2019,0.3247,0.0666,0.3247,0.3247,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Indi,Vijayapura,17.147634,75.953167,2020,0.2393,0.0566,0.2393,0.2393,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Indi,Vijayapura,17.147634,75.953167,2021,0.235,0.0426,0.235,0.235,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Indi,Vijayapura,17.147634,75.953167,2022,0.2373,0.0511,0.2373,0.2373,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Indi,Vijayapura,17.147634,75.953167,2023,0.2315,0.0567,0.2315,0.2315,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Sindagi,Vijayapura,16.879761,76.256591,2019,0.3588,0.059,0.3588,0.3588,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Sindagi,Vijayapura,16.879761,76.256591,2020,0.2945,0.0232,0.2945,0.2945,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Sindagi,Vijayapura,16.879761,76.256591,2021,0.3657,0.0582,0.3657,0.3657,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Sindagi,Vijayapura,16.879761,76.256591,2022,0.3425,0.0599,0.3425,0.3425,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Sindagi,Vijayapura,16.879761,76.256591,2023,0.3481,0.0493,0.3481,0.3481,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Basavanabagewadi,Vijayapura,16.614565,75.97166,2019,0.4049,0.1242,0.4049,0.4049,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Basavanabagewadi,Vijayapura,16.614565,75.97166,2020,0.3785,0.1022,0.3785,0.3785,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Basavanabagewadi,Vijayapura,16.614565,75.97166,2021,0.3615,0.1103,0.3615,0.3615,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Basavanabagewadi,Vijayapura,16.614565,75.97166,2022,0.3954,0.1166,0.3954,0.3954,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Basavanabagewadi,Vijayapura,16.614565,75.97166,2023,0.4278,0.1669,0.4278,0.4278,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Muddebihala,Vijayapura,16.320809,76.167477,2019,0.161,0.1431,0.161,0.161,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Muddebihala,Vijayapura,16.320809,76.167477,2020,0.4036,0.0423,0.4036,0.4036,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Muddebihala,Vijayapura,16.320809,76.167477,2021,0.4513,0.0976,0.4513,0.4513,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Muddebihala,Vijayapura,16.320809,76.167477,2022,0.4452,0.0894,0.4452,0.4452,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Muddebihala,Vijayapura,16.320809,76.167477,2023,0.3912,0.0943,0.3912,0.3912,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Nidagundi,Vijayapura,16.405335,75.915597,2019,0.2558,0.2293,0.2558,0.2558,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Nidagundi,Vijayapura,16.405335,75.915597,2020,0.4161,0.0766,0.4161,0.4161,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Nidagundi,Vijayapura,16.405335,75.915597,2021,0.3945,0.0843,0.3945,0.3945,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Nidagundi,Vijayapura,16.405335,75.915597,2022,0.4679,0.1174,0.4679,0.4679,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Nidagundi,Vijayapura,16.405335,75.915597,2023,0.4133,0.1052,0.4133,0.4133,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Babaleshwar,Vijayapura,16.604891,75.577284,2019,0.2907,0.0774,0.2907,0.2907,1,landsat-8,Landsat C2 L2 (Planetary Computer)
Babaleshwar,Vijayapura,16.604891,75.577284,2020,0.2326,0.0481,0.2326,0.2326,1,landsat-7,Landsat C2 L2 (Planetary Computer)
Babaleshwar,Vijayapura,16.604891,75.577284,2021,0.333,0.0984,0.333,0.333,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Babaleshwar,Vijayapura,16.604891,75.577284,2022,0.2792,0.1061,0.2792,0.2792,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Babaleshwar,Vijayapura,16.604891,75.577284,2023,0.2447,0.1098,0.2447,0.2447,1,landsat-9,Landsat C2 L2 (Planetary Computer)
Chadchan,Vijayapura,17.301377,75.723812,2019,0.4034,0.0826,0.4034,0.4034,1,landsat-8,Landsat C2 L2 (Planetary Computer)
