point_id,taluk,latitude,longitude,clay_pct,sand_pct,silt_pct,pH,nitrogen_g_per_kg,organic_carbon_dg_per_kg,bulk_density_cg_per_cm3,api_source
PIR_005,Piriyapatna,12.399166686037598,76.18045760585949,32.5,43.7,23.8,6.9,1.52,237.0,136.0,ISRIC SoilGrids v2.0
PIR_006,Piriyapatna,12.288799578649334,76.13894540325346,31.7,39.8,28.5,6.4,1.63,188.0,134.0,ISRIC SoilGrids v2.0
PIR_007,Piriyapatna,12.34832563512636,76.10098126569481,,,,,,,,
PIR_008,Piriyapatna,12.27606129673132,76.03121348799458,31.1,41.4,27.4,5.9,2.7,273.0,122.0,ISRIC SoilGrids v2.0
PIR_009,Piriyapatna,12.422473277753905,75.9684293198639,33.9,37.5,28.6,6.1,2.15,190.0,126.0,ISRIC SoilGrids v2.0
HUN_000,Hunsur,12.259621306540607,76.27735934076443,30.5,40.7,28.7,6.7,1.72,216.0,133.0,ISRIC SoilGrids v2.0
HUN_001,Hunsur,12.28921298710355,76.30289208302702,34.6,37.2,28.2,6.8,1.87,214.0,136.0,ISRIC SoilGrids v2.0
HUN_002,Hunsur,12.178578249446986,76.2274297766511,31.7,43.1,25.1,6.1,1.73,217.0,131.0,ISRIC SoilGrids v2.0
HUN_003,Hunsur,12.3340881506953,76.18205630984453,28.1,44.6,27.3,6.8,1.62,203.0,134.0,ISRIC SoilGrids v2.0
HUN_004,Hunsur,12.250162849040471,76.26322443383631,30.5,41.2,28.3,6.7,1.85,222.0,134.0,ISRIC SoilGrids v2.0
HUN_005,Hunsur,12.235456432736042,76.29617005088924,28.5,41.0,30.5,6.8,1.46,188.0,136.0,ISRIC SoilGrids v2.0
HUN_006,Hunsur,12.217687221728681,76.14208130623906,31.7,37.1,31.2,6.0,1.48,192.0,127.0,ISRIC SoilGrids v2.0
HUN_007,Hunsur,12.326656063844847,76.377511555253,30.7,43.8,25.5,6.8,1.7,217.0,137.0,ISRIC SoilGrids v2.0
HUN_008,Hunsur,12.263725439742938,76.21967988108756,33.2,40.4,26.5,6.7,1.6,188.0,132.0,ISRIC SoilGrids v2.0
HUN_009,Hunsur,12.187317605054137,76.18089108167739,32.6,41.5,25.9,6.1,1.77,205.0,129.0,ISRIC SoilGrids v2.0
SAL_000,Saligrama,12.571189269603028,76.16579103121897,37.5,39.5,23.0,6.8,1.96,232.0,137.0,ISRIC SoilGrids v2.0
SAL_001,Saligrama,12.586064304844378,76.21460445261793,33.7,42.9,23.4,7.0,1.93,234.0,138.0,ISRIC SoilGrids v2.0
